title,company,salary,description,link,source,scraped_at,location
Fyzioterapeut/Ergoterapeut - rehabilitace v domácím prostředí,"ERGO Aktiv, o.p.s.",,,https://www.jobs.cz/rpd/2000875204/?searchId=10e69848-85b7-4f81-9dbb-361129be910f&rps=233,Jobs.cz,1767288663.066165,Praha – Žižkov
"Technik nabídek - energetika (rozvodny, linky)",Union Grid s.r.o.,38 000 ‍–‍ 45 000 Kč,,https://www.jobs.cz/rpd/2000902970/?searchId=10e69848-85b7-4f81-9dbb-361129be910f&rps=233,Jobs.cz,1767288663.7016356,Brno – Slatina
HOTELOVÝ PERSONÁL NA KYPRU - strava a ubytováni zajištěno zdarma,Agentúra PRO-STAFF s.r.o.,950 ‍–‍ 1 256 EUR,,https://www.jobs.cz/rpd/2000935064/?searchId=10e69848-85b7-4f81-9dbb-361129be910f&rps=233,Jobs.cz,1767288664.3463483,Španělsko
Technik jakosti pro vývoj a výrobu SENIOR,TDK Electronics s.r.o.,,,https://www.jobs.cz/rpd/2000894373/?searchId=10e69848-85b7-4f81-9dbb-361129be910f&rps=233,Jobs.cz,1767288665.0567467,Šumperk
"ANIMÁTOR V HOTELU - ŠPANĚLSKO, strava a ubytováni, vhodné pro studenty",Agentúra PRO-STAFF s.r.o.,1 250 EUR,,https://www.jobs.cz/rpd/2000935063/?searchId=10e69848-85b7-4f81-9dbb-361129be910f&rps=233,Jobs.cz,1767288665.682866,Španělsko
Skladník/ce – květinový sklad,St. Gabriel s.r.o.,,,https://www.jobs.cz/rpd/2000742680/?searchId=10e69848-85b7-4f81-9dbb-361129be910f&rps=233,Jobs.cz,1767288666.2648482,Jirny
Technik výrobního zařízení,TDK Electronics s.r.o.,,,https://www.jobs.cz/rpd/2000882530/?searchId=10e69848-85b7-4f81-9dbb-361129be910f&rps=233,Jobs.cz,1767288666.9821942,Šumperk
💡Energetik,TDK Electronics s.r.o.,,,https://www.jobs.cz/rpd/2000946280/?searchId=6a6e0370-2a72-41f8-8c28-8ddd2d268570&rps=233,Jobs.cz,1767288668.639057,Šumperk
Internal Auditor – Hradec Králové (nástup leden 2026),Brunel CZ s.r.o.,,,https://www.jobs.cz/rpd/2000921775/?searchId=6a6e0370-2a72-41f8-8c28-8ddd2d268570&rps=233,Jobs.cz,1767288669.4158893,Královéhradecký kraj
Koordinátor/ka Learning & Development,"Člověk v tísni, o.p.s.",42 000 ‍–‍ 44 000 Kč,,https://www.jobs.cz/rpd/2000944467/?searchId=6a6e0370-2a72-41f8-8c28-8ddd2d268570&rps=233,Jobs.cz,1767288670.251339,Praha – Vinohrady
Investiční ředitel (chemický provoz) (m/ž),"OQEMA, s.r.o.",,,https://www.jobs.cz/rpd/2000861321/?searchId=6a6e0370-2a72-41f8-8c28-8ddd2d268570&rps=233,Jobs.cz,1767288671.0112755,Slatiňany
MISTR VE VÝROBĚ,DUROtherm Thermoforming Czechia s.r.o.,35 000 ‍–‍ 40 000 Kč,,https://www.jobs.cz/rpd/2000934977/?searchId=6a6e0370-2a72-41f8-8c28-8ddd2d268570&rps=233,Jobs.cz,1767288671.636817,Krupka
Marketing Specialist,RONDA INVEST a.s.,50 000 ‍–‍ 60 000 Kč,,https://www.jobs.cz/rpd/2000807914/?searchId=6a6e0370-2a72-41f8-8c28-8ddd2d268570&rps=233,Jobs.cz,1767288672.2919266,Praha – Nové Město
OBCHODNÍK V OBLASTI TECHNIKY,Tiyo a.s.,45 000 ‍–‍ 70 000 Kč,,https://www.jobs.cz/rpd/2000916266/?searchId=6a6e0370-2a72-41f8-8c28-8ddd2d268570&rps=233,Jobs.cz,1767288672.8401055,Hořice – Libonice
WordPress Developer/ka,"Creative Heroes, s.r.o.",60 000 ‍–‍ 100 000 Kč,,https://www.jobs.cz/rpd/2000946247/?searchId=6a6e0370-2a72-41f8-8c28-8ddd2d268570&rps=233,Jobs.cz,1767288673.4198787,Praha – Holešovice
MARKETINGOVÝ SPECIALISTA,Faster CZ spol. s r.o.,40 000 ‍–‍ 60 000 Kč,,https://www.jobs.cz/rpd/2000921765/?searchId=6a6e0370-2a72-41f8-8c28-8ddd2d268570&rps=233,Jobs.cz,1767288674.0639248,Brno – Maloměřice
MANAŽER STAVEBNÍCH PROJEKTŮ ČESKÉ BUDĚJOVICE A OKOLÍ (80 - 100.000 Kč + auto),"Advantage Consulting, s.r.o.",80 000 ‍–‍ 100 000 Kč,,https://www.jobs.cz/rpd/2000964938/?searchId=6a6e0370-2a72-41f8-8c28-8ddd2d268570&rps=233,Jobs.cz,1767288674.9235697,České Budějovice
Front Office Assistant s plynulou angličtinou – IVF klinika,UNICA Prague s.r.o.,,,https://www.jobs.cz/rpd/2000934987/?searchId=6a6e0370-2a72-41f8-8c28-8ddd2d268570&rps=233,Jobs.cz,1767288675.5854373,Praha – Stodůlky
IT Security Compliance Advisor,TRASK SOLUTIONS a.s.,,,https://www.jobs.cz/rpd/2000837435/?searchId=6a6e0370-2a72-41f8-8c28-8ddd2d268570&rps=233,Jobs.cz,1767288676.6063237,Praha – Krč
Business Analyst,Infor (Česká republika) s.r.o.,,,https://www.jobs.cz/rpd/2000946244/?searchId=6a6e0370-2a72-41f8-8c28-8ddd2d268570&rps=233,Jobs.cz,1767288677.1952386,Praha – Nusle
Farmaceut (m/ž),Workintense Personální Agentura s.r.o.,,,https://www.jobs.cz/rpd/2000934849/?searchId=6a6e0370-2a72-41f8-8c28-8ddd2d268570&rps=233,Jobs.cz,1767288677.9600408,Plzeň
Senior Business Development Manager - Medis,Teva,,"O společnosti Teva
Náš vliv
Naše produkty
Odborníci ve zdravotnictví
Zprávy & Média
Vaše kariéra
Naši lidé a naše aktivity Práce ve společnosti Teva Náborový proces Proč pracovat v Tevě Volná místa
Search
Nenašli jste vhodnou pozici

Nenašli jste vhodnou pozici?
Pošlete nám životopis.

POSLAT CV
Kontaktujte nás
Kariéra
Teva ve světě
Teva Slovensko
TAPI
Ochrana osobních údajů
Všeobecné obchodní podmínky
Ochrana soukromí a dozor nad bezpečností léčiv
Powered by Alma Career
Sledujte Tevu
Nahlásit nezákonný obsah
Nastavení cookies
Transparentnost
Reklama na portálech Alma Career
Zásady ochrany soukromí
Podmínky používání

© Alma Career Czechia s.r.o. Vizuální podoba webové stránky může být rovněž předmětem autorských práv třetích stran

Webovou stránku stránku pro klienta vytvořila a provozuje Alma Career Czechia s.r.o., IČO 26441381, se sídlem Menclova 2538/2, Libeň, 180 00 Praha 8, sp. zn. C 82484 vedená u Městského soudu v Praze.",https://www.jobs.cz/rpd/2000921757/?searchId=6a6e0370-2a72-41f8-8c28-8ddd2d268570&rps=233,Jobs.cz,1767288679.227033,Praha – Karlín
"CNC OBRÁBĚČ - JISTOTA, KVALITA, SUPER ZÁZEMÍ (mzda až 60 000 Kč v nástupu)",TresJob s.r.o.,50 000 ‍–‍ 60 000 Kč,,https://www.jobs.cz/rpd/2000934978/?searchId=6a6e0370-2a72-41f8-8c28-8ddd2d268570&rps=233,Jobs.cz,1767288679.9209802,Brno
Obchodně technický zástupce ve STAVEBNINÁCH,AA+STAVEBNINY KONSYS s.r.o.,,,https://www.jobs.cz/rpd/2000955754/?searchId=6a6e0370-2a72-41f8-8c28-8ddd2d268570&rps=233,Jobs.cz,1767288680.6501045,Moravskoslezský kraj
Servisní specialista zemědělských strojů,BEDNAR FMT s.r.o.,,,https://www.jobs.cz/rpd/2000864908/?searchId=6a6e0370-2a72-41f8-8c28-8ddd2d268570&rps=233,Jobs.cz,1767288681.2876332,Praha – Vinoř
Vedoucí výkupového oddělení,VIAGEM a.s.,150 000 ‍–‍ 200 000 Kč,,https://www.jobs.cz/rpd/2000819631/?searchId=6a6e0370-2a72-41f8-8c28-8ddd2d268570&rps=233,Jobs.cz,1767288682.1725633,Praha – Karlín
Servisní specialista junior pro zemědělské stroje,BEDNAR FMT s.r.o.,,,https://www.jobs.cz/rpd/2000864909/?searchId=6a6e0370-2a72-41f8-8c28-8ddd2d268570&rps=233,Jobs.cz,1767288683.0161252,Praha – Vinoř
Front-end Developer,Infor (Česká republika) s.r.o.,,,https://www.jobs.cz/rpd/2000946242/?searchId=6a6e0370-2a72-41f8-8c28-8ddd2d268570&rps=233,Jobs.cz,1767288683.690103,Praha – Nusle
JD Sports - Asistent/ka prodeje Liberec,JD Group/MIG,,,https://www.jobs.cz/rpd/2000964903/?searchId=6a6e0370-2a72-41f8-8c28-8ddd2d268570&rps=233,Jobs.cz,1767288684.3019269,Liberec
SENIOR CYBER SECURITY ANALYST,NEXT GENERATION SECURITY SOLUTIONS s.r.o.,,,https://www.jobs.cz/rpd/2000875153/?searchId=6a6e0370-2a72-41f8-8c28-8ddd2d268570&rps=233,Jobs.cz,1767288684.9772933,Praha – Holešovice
Specialista zpracování vratek,"Authentica, s.r.o.",34 000 ‍–‍ 39 000 Kč,,https://www.jobs.cz/rpd/2000760670/?searchId=6a6e0370-2a72-41f8-8c28-8ddd2d268570&rps=233,Jobs.cz,1767288685.6683004,Syrovice
Přípravář lepení (sklení) 33 700 - 35 100 Kč,"IFE-CR,a.s.",33 700 ‍–‍ 35 100 Kč,"Pracovní příležitosti
    Zde můžete najít nabídku pracovních příležitostí v IFE-CR, a.s. v Modřicích.
        Pokud máte zájem o některou z nabízených pozic, prosím odpovězte na kontaktní e-mail u konkrétní pracovní
        nabídky. Mzdy jsou uvedeny v rozpětí mzdy nástupní až po mzdu po zaučení. V případě inzerátu bez uvedené mzdy je rozpětí mzdy
        individuální a závisí na vašich zkušenostech, dovednostech a schopnostech.
    Na zaslané žádosti o zaměstnání odpovídáme běžně do 72 hodin; v případě víkendu / svátku se
        mohou odpovědi opozdit. Pokud odpověď neobdržíte nebo máte jiný dotaz, ozvěte se nám na tel. +420 703
            155 259.
    Pokud jste zde nenašli vhodnou pracovní nabídku, prosím odešlete svůj životopis spolu se souhlasem o uchování
        vašich osobních dat na adresu kariera@knorr-bremse.com. Zařadíme vás do
        naší databáze životopisů a v případě vhodné nabídky vás budeme kontaktovat.
    S vašimi osobními údaji budeme nakládat v souladu se zákonem č. 101/2000 Sb., o ochraně osobních údajů.
    Těšíme se na vaše reakce!",https://www.jobs.cz/rpd/2000684945/?searchId=6a6e0370-2a72-41f8-8c28-8ddd2d268570&rps=233,Jobs.cz,1767288686.68291,Modřice
Senior Key Account Manager,ROSHEN FIRST s.r.o.,,,https://www.jobs.cz/rpd/2000946234/?searchId=6a6e0370-2a72-41f8-8c28-8ddd2d268570&rps=233,Jobs.cz,1767288687.5433817,Praha
Junior Office Manager/Junior obchodník 💼- Pobočka Partners Banky Trutnov,Pobočka Partners Banky Trutnov,35 000 ‍–‍ 70 000 Kč,Detail pozice,https://www.jobs.cz/rpd/2000921749/?searchId=6a6e0370-2a72-41f8-8c28-8ddd2d268570&rps=233,Jobs.cz,1767288688.6092002,Trutnov – Vnitřní Město
Bankovní poradce - Partners Banka Lanškroun,Pobočka Partners Banky Lanškroun,30 000 ‍–‍ 60 000 Kč,Detail pozice,https://www.jobs.cz/rpd/2000934968/?searchId=6a6e0370-2a72-41f8-8c28-8ddd2d268570&rps=233,Jobs.cz,1767288689.3986661,Lanškroun – Žichlínské Předměstí
IT Specialista – L2 podpora,Atos Czech Republic s.r.o.,,,https://www.jobs.cz/rpd/2000916298/?searchId=6a6e0370-2a72-41f8-8c28-8ddd2d268570&rps=233,Jobs.cz,1767288690.427625,Praha – Nusle
"Konzultant IS KARAT - oblasti odbyt, sklady, logistika",KARAT Software a.s.,,,https://www.jobs.cz/rpd/2000393612/?searchId=6a6e0370-2a72-41f8-8c28-8ddd2d268570&rps=233,Jobs.cz,1767288691.1393423,Přerov – Přerov I-Město
Stavbyvedoucí | Pozemní stavby (m/f),Trigema Building a.s.,,,https://www.jobs.cz/rpd/2000450715/?searchId=9604a65a-76a6-4dfc-b259-e1b9e7cf333c&rps=233,Jobs.cz,1767288693.1265738,Praha – Stodůlky
"PRACOVNÍK PROBAČNÍHO PROGRAMU PRO MLADISTVÉ, ÚVAZEK 0,4",RATOLEST BRNO,13 000 ‍–‍ 14 700 Kč,,https://www.jobs.cz/rpd/2000946228/?searchId=9604a65a-76a6-4dfc-b259-e1b9e7cf333c&rps=233,Jobs.cz,1767288693.773373,Brno – Černá Pole
Sociální pracovník*pracovnice v Tranzitním programu v Karlových Varech,"Rytmus - od klienta k občanovi, z.ú.",36 000 ‍–‍ 38 500 Kč,,https://www.jobs.cz/rpd/2000874837/?searchId=9604a65a-76a6-4dfc-b259-e1b9e7cf333c&rps=233,Jobs.cz,1767288694.6481698,Karlovy Vary – Drahovice
CNC Brusič ✈️ náborový příspěvek 80 000 Kč ✈️ Letecký průmysl,GE Aviation Czech s.r.o.,43 000 ‍–‍ 52 000 Kč,,https://www.jobs.cz/rpd/2000946220/?searchId=9604a65a-76a6-4dfc-b259-e1b9e7cf333c&rps=233,Jobs.cz,1767288695.6796184,Praha – Letňany
Technolog - specialista SMT,ROHDE & SCHWARZ,51 000 ‍–‍ 59 000 Kč,,https://www.jobs.cz/rpd/2000393016/?searchId=9604a65a-76a6-4dfc-b259-e1b9e7cf333c&rps=233,Jobs.cz,1767288696.7085378,Vimperk – Vimperk III
Mistr - velká obrobna,Doosan Škoda Power a.s.,,,https://www.jobs.cz/rpd/2000902926/?searchId=9604a65a-76a6-4dfc-b259-e1b9e7cf333c&rps=233,Jobs.cz,1767288697.8368013,Plzeň – Jižní Předměstí
"Finanční účetní junior (M/Ž) - Chýně, Praha západ",O.K. Trans Praha spol. s r.o.,,,https://www.jobs.cz/rpd/2000921744/?searchId=9604a65a-76a6-4dfc-b259-e1b9e7cf333c&rps=233,Jobs.cz,1767288698.4074597,Chýně
Mistr v nepřetržitém provozu,TI GROUP AUTOMOTIVE SYSTEMS s.r.o. - Nepřevázka,45 000 ‍–‍ 55 000 Kč,,https://www.jobs.cz/rpd/2000946223/?searchId=9604a65a-76a6-4dfc-b259-e1b9e7cf333c&rps=233,Jobs.cz,1767288699.1004338,Nepřevázka
CUKRÁŘ/KA do moderní firemní restaurace,HM Gastro Group s.r.o.,,,https://www.jobs.cz/rpd/2000934965/?searchId=9604a65a-76a6-4dfc-b259-e1b9e7cf333c&rps=233,Jobs.cz,1767288699.8123376,Praha – Dolní Měcholupy
Area manager pro Plzeňský a Jihočeský kraj ve společnosti ProSpánek,ProSpánek SE,65 000 ‍–‍ 80 000 Kč,,https://www.jobs.cz/rpd/2000964837/?searchId=9604a65a-76a6-4dfc-b259-e1b9e7cf333c&rps=233,Jobs.cz,1767288700.6218922,Plzeňský kraj + 1 další lokalita
Marketingový specialista/ specialistka,Zdravé stravování s.r.o.,,,https://www.jobs.cz/rpd/2000946213/?searchId=9604a65a-76a6-4dfc-b259-e1b9e7cf333c&rps=233,Jobs.cz,1767288701.207698,Strážnice
"Finanční účetní (M/Ž) - Chýně, Praha západ",O.K. Trans Praha spol. s r.o.,,,https://www.jobs.cz/rpd/2000921727/?searchId=9604a65a-76a6-4dfc-b259-e1b9e7cf333c&rps=233,Jobs.cz,1767288701.796435,Chýně
CNC Frézař ✈️ náborový příspěvek 80.000 Kč ✈️ 6 týdnů dovolené,GE Aviation Czech s.r.o.,48 000 ‍–‍ 53 000 Kč,,https://www.jobs.cz/rpd/2000946216/?searchId=9604a65a-76a6-4dfc-b259-e1b9e7cf333c&rps=233,Jobs.cz,1767288702.5562246,Praha – Letňany
Obchodní zástupce pro kancelar24.cz (B2B),EKOSTYREN s.r.o.,,,https://www.jobs.cz/rpd/2000946215/?searchId=9604a65a-76a6-4dfc-b259-e1b9e7cf333c&rps=233,Jobs.cz,1767288703.1485507,Ostrava – Hrabová
Operations Manager (Payments & FinTech),"PAYMONT, UAB",70 000 ‍–‍ 100 000 Kč,,https://www.jobs.cz/rpd/2000946196/?searchId=9604a65a-76a6-4dfc-b259-e1b9e7cf333c&rps=233,Jobs.cz,1767288703.9908223,Praha – Nové Město
Key Account Manager Fleet,Nathan Peterson International s.r.o.,70 000 ‍–‍ 80 000 Kč,,https://www.jobs.cz/rpd/2000921738/?searchId=9604a65a-76a6-4dfc-b259-e1b9e7cf333c&rps=233,Jobs.cz,1767288704.6000328,Praha + 1 další lokalita
Asistent odd. pro vědu a techniku / Assistant of Scientific and Technological Affairs,Tchajpejská hospodářská a kulturní kancelář Praha,,,https://www.jobs.cz/rpd/2000946212/?searchId=9604a65a-76a6-4dfc-b259-e1b9e7cf333c&rps=233,Jobs.cz,1767288705.2588506,Praha – Dejvice
Zkušební technik pro zkoušení generátorů (m/ž),BRUSH SEM s.r.o.,,,https://www.jobs.cz/rpd/2000526800/?searchId=9604a65a-76a6-4dfc-b259-e1b9e7cf333c&rps=233,Jobs.cz,1767288706.1030512,Plzeň – Doudlevce
Servisní technik pro klinickou diagnostiku,Erba Lachema,45 000 ‍–‍ 60 000 Kč,,https://www.jobs.cz/rpd/2000921736/?searchId=9604a65a-76a6-4dfc-b259-e1b9e7cf333c&rps=233,Jobs.cz,1767288706.772118,Brno – Řečkovice
Territory Sales Engineer - severozápadní Čechy,"HENKEL ČR, spol. s r.o.",,,https://www.jobs.cz/rpd/2000874967/?searchId=9604a65a-76a6-4dfc-b259-e1b9e7cf333c&rps=233,Jobs.cz,1767288707.7996013,Středočeský kraj + 2 další lokality
Servisní technička/technik Chrudim a okolí,Atlas Copco s.r.o.,,"„Zažijte Švédsko v Česku.“

Zajímala by vás spíš jiná pozice?

Výpis podobných pozic

Příležitosti v zahraničí

Jak se vám v Atlas Copco bude žít?

Víte, co máme nejraději? Skvělé lidi kolem sebe, mezi kterými se člověk prostě cítí fajn a kde si ho váží. Pocit svobody, důvěry, ale i odpovědnosti. Možnost vyladit si svoji práci tak, abychom mohli trávit volný čas s čistou hlavou. A také pomáhat lidem, kteří to potřebují.

Mrkněte na náš

Chcete vědět o práci v Atlas Copco víc?",https://www.jobs.cz/rpd/2000934953/?searchId=9604a65a-76a6-4dfc-b259-e1b9e7cf333c&rps=233,Jobs.cz,1767288708.7455127,Chrudim – Chrudim I
Obchodní zástupce Průmyslu - Automotive,SERVIND s.r.o.,,,https://www.jobs.cz/rpd/2000946207/?searchId=9604a65a-76a6-4dfc-b259-e1b9e7cf333c&rps=233,Jobs.cz,1767288709.5577056,Tuchoměřice
Fieldwork Coordination Allocator with English – Part-Timer,IPSOS s.r.o.,,,https://www.jobs.cz/rpd/2000664042/?searchId=9604a65a-76a6-4dfc-b259-e1b9e7cf333c&rps=233,Jobs.cz,1767288710.2854557,Praha – Nové Město
Technolog lakování,HAJDIK a.s.,,,https://www.jobs.cz/rpd/2000921731/?searchId=9604a65a-76a6-4dfc-b259-e1b9e7cf333c&rps=233,Jobs.cz,1767288711.0831277,Jablůnka
MARKETING MANAGER (m/f/d),ALTRO Executive Search,,,https://www.jobs.cz/rpd/2000734890/?searchId=9604a65a-76a6-4dfc-b259-e1b9e7cf333c&rps=233,Jobs.cz,1767288711.7525208,Dolní Dobrouč
Operativní nákupčí (m/ž),Hitachi Energy Czech Republic s.r.o.,,,https://www.jobs.cz/rpd/2000640643/?searchId=9604a65a-76a6-4dfc-b259-e1b9e7cf333c&rps=233,Jobs.cz,1767288712.8349586,Brno – Slatina
